poppler-glib 23.12.0-1
popt 1.19-1
portaudio 1:19.7.0-2
power-profiles-daemon 0.13-1
ppp 2.5.0-1
procps-ng 4.0.4-2
psmisc 23.6-1
pv 1.8.5-1
python 3.11.6-1
python-cairo 1.25.1-1
python-capng 0.8.3-2
python-colorama 0.4.6-2
python-defusedxml 0.7.1-5
python-future 0.18.3-2
python-gobject 3.46.0-1
python-packaging 23.2-1
python-psutil 5.9.6-1
python-pyaml 23.9.0-1
python-pyqt5 5.15.10-1
python-pyqt5-sip 12.13.0-1
python-shtab 1.6.4-1
python-termcolor 2.3.0-1
python-ujson 5.8.0-1
python-yaml 6.0.1-2
qrencode 4.1.1-2
qt5-base 5.15.11+kde+r147-1
qt5-translations 5.15.11-1
qt6-base 6.6.1-1
qt6-declarative 6.6.1-1
qt6-translations 6.6.1-1
raptor 2.0.16-3
rasqal 1:0.9.33-6
rav1e 0.6.6-3
readline 8.2.007-1
rebuild-detector 4.4.2-1
redland 1:1.0.17-8
reflector 2023-1
reflector-simple 2023-4
reiserfsprogs 3.6.27-4
rpcbind 1.2.6-3
rsync 3.2.7-6
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
run-parts 5.5-1
s-nail 14.9.24-2
sbc 2.0-1
sdl2 2.28.5-1
sed 4.9-3
serd 0.32.0-1
sg3_utils 1.47-1
shadow 4.14.2-1
shared-mime-info 2.4-1
slang 2.3.3-2
smartmontools 7.4-1
smbclient 4.19.3-1
sof-firmware 2023.09.2-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-5
speex 1.2.1-1
speexdsp 1.2.1-1
sqlite 3.44.2-2
sratom 0.6.16-1
srt 1.5.3-1
startup-notification 0.12-8
stoken 0.92-4
stow 2.3.1-3
sudo 1.9.15.p2-1
sushi 45.0-1
svt-av1 1.7.0-1
svt-hevc 1.5.1-2
sysfsutils 2.1.1-1
systemd 254.6-2
systemd-libs 254.6-2
systemd-resolvconf 254.6-2
systemd-sysvcompat 254.6-2
taglib 1.13.1-1
talloc 2.4.1-1
tar 1.35-2
tcl 8.6.13-1
tdb 1.4.9-1
tecla 45.0-1
tevent 1:0.15.0-1
texinfo 7.1-2
thin-provisioning-tools 1.0.7-1
timeshift 23.12.1-1
tldr 3.2.0-1
totem 43.0-2
totem-pl-parser 3.26.6-2
tpm2-tss 4.0.1-1
tracker3 3.6.0-1
tree 2.1.1-1
tree-sitter 0.20.10-2
tslib 1.22-1
ttf-bitstream-vera 1.10-15
ttf-dejavu 2.37+18+g9b5d1b2f-4
ttf-firacode-nerd 3.1.1-1
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
twolame 0.4.0-3
tzdata 2023c-2
udisks2 2.10.1-2
unibilium 2.1.1-1
unrar 1:6.2.12-1
unzip 6.0-20
upower 1.90.2-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-3
usbutils 017-1
util-linux 2.39.2-2
util-linux-libs 2.39.2-2
v4l-utils 1.24.1-2
vi 1:070224-6
vid.stab 1.1.1-1
visual-studio-code-bin 1.84.2-1
vmaf 2.3.1-1
volume_key 0.3.12-8
vpnc 1:0.5.3.r526.r213-1
vte-common 0.74.1-1
vte3 0.74.1-1
vte4 0.74.1-1
vulkan-headers 1:1.3.269-1
vulkan-icd-loader 1.3.269-1
wavpack 5.6.0-1
wayland 1.22.0-1
webkit2gtk-4.1 2.42.2-1
webrtc-audio-processing 0.3.1-4
webrtc-audio-processing-1 1.3-2
welcome 3.80-1
wget 1.21.4-1
which 2.21-6
whois 5.5.20-1
wildmidi 0.4.5-2
wireplumber 0.4.17-1
wl-clipboard 1:2.2.1-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xapp 2.8.1-1
xbitmaps 1.1.3-1
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xclip 0.13-4
xdg-dbus-proxy 0.1.5-1
xdg-desktop-portal 1.18.2-1
xdg-desktop-portal-gnome 45.1-1
xdg-desktop-portal-gtk 1.15.1-1
xdg-user-dirs 0.18-1
xdg-user-dirs-gtk 0.11-2
xdg-utils 1.2.0r17+g21fb316-1
xf86-input-libinput 1.4.0-1
xfsprogs 6.5.0-1
xkeyboard-config 2.40-1
xl2tpd 1.3.18-1
xmlsec 1.2.37-1
xorg-fonts-encodings 1.0.7-1
xorg-server 21.1.9-1
xorg-server-common 21.1.9-1
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.2-1
xorg-xdpyinfo 1.3.4-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xkill 1.0.6-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xset 1.2.5-1
xorg-xwayland 23.2.2-1
xorgproto 2023.2-1
xterm 388-1
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.4.5-1
yad 13.0-2.1
yay 12.2.0-1
zbar 0.23.90-3
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3-2
zstd 1.5.5-1
zvbi 0.2.42-1
zxing-cpp 2.1.0-1
